Acacia Boat, minecraft:acacia_boat, 447;
Lingering Potion of the Turtle Master (0:05 - Slowness IV, Resistance III), minecraft:lingering_potion, 441;
Lingering Potion of the Turtle Master (0:05 - Slowness VI, Resistance IV), minecraft:lingering_potion, 441;
Lingering Potion of the Turtle Master (0:10 - Slowness IV, Resistance III), minecraft:lingering_potion, 441;
Llama Spawn Egg, minecraft:llama_spawn_egg,  ;
Lodestone, minecraft:lodestone,  ;
Loom, minecraft:loom,  ;
Magenta Banner, minecraft:magenta_banner,  ;
Magenta Bed, minecraft:magenta_bed,  ;
Magenta Carpet, minecraft:magenta_carpet,  ;
Magenta Concrete, minecraft:magenta_concrete,  ;
Magenta Concrete Powder, minecraft:magenta_concrete_powder,  ;
Magenta Dye, minecraft:magenta_dye,  ;
Magenta Glazed Terracotta, minecraft:magenta_glazed_terracotta, 237;
Magenta Shulker Box, minecraft:magenta_shulker_box, 221;
Magenta Stained Glass, minecraft:magenta_stained_glass,  ;
Magenta Stained Glass Pane, minecraft:magenta_stained_glass_pane,  ;
Magenta Terracotta, minecraft:magenta_terracotta,  ;
Magenta Wool, minecraft:magenta_wool,  ;
Magma Block, minecraft:magma_block, 213;
Magma Cream, minecraft:magma_cream, 378;
Magma Cube Spawn Egg, minecraft:magma_cube_spawn_egg,  ;
Map, minecraft:map, 395;
Block of Melon, minecraft:melon, 103;
Melon Seeds, minecraft:melon_seeds, 362;
Melon Slice, minecraft:melon_slice, 360;
Milk, minecraft:milk_bucket, 335;
Minecart, minecraft:minecart, 328;
Thing Banner Pattern, minecraft:mojang_banner_pattern,  ;
Mooshroom Spawn Egg, minecraft:mooshroom_spawn_egg,  ;
Mossy Cobblestone, minecraft:mossy_cobblestone, 48;
Mossy Cobblestone Slab, minecraft:mossy_cobblestone_slab,  ;
Mossy Cobblestone Stairs, minecraft:mossy_cobblestone_stairs,  ;
Mossy Cobblestone Wall, minecraft:mossy_cobblestone_wall,  ;
Mossy Stone Brick Slab, minecraft:mossy_stone_brick_slab,  ;
Mossy Stone Brick Stairs, minecraft:mossy_stone_brick_stairs,  ;
Mossy Stone Brick Wall, minecraft:mossy_stone_brick_wall,  ;
Mossy Stone Bricks, minecraft:mossy_stone_bricks,  ;
Mule Spawn Egg, minecraft:mule_spawn_egg,  ;
Mushroom Stem, minecraft:mushroom_stem,  ;
Mushroom Stew, minecraft:mushroom_stew, 282;
Music Disc (C418 - 11), minecraft:music_disc_11, 2266;
Music Disc (C418 - 13), minecraft:music_disc_13, 2256;
Music Disc (C418 - blocks), minecraft:music_disc_blocks, 2258;
Music Disc (C418 - cat), minecraft:music_disc_cat, 2257;
Music Disc (C418 - chirp), minecraft:music_disc_chirp, 2259;
Music Disc (C418 - far), minecraft:music_disc_far, 2260;
Music Disc (C418 - mall), minecraft:music_disc_mall, 2261;
Music Disc (C418 - mellohi), minecraft:music_disc_mellohi, 2262;
Music Disc (Lena Raine - Pigstep), minecraft:music_disc_pigstep,  ;
Music Disc (C418 - stal), minecraft:music_disc_stal, 2263;
Music Disc (C418 - strad), minecraft:music_disc_strad, 2264;
Music Disc (C418 - wait), minecraft:music_disc_wait, 2267;
Music Disc (C418 - ward), minecraft:music_disc_ward, 2265;
Raw Mutton, minecraft:mutton, 423;
Mycelium, minecraft:mycelium, 110;
Name Tag, minecraft:name_tag, 421;
Nautilus Shell, minecraft:nautilus_shell,  ;
Nether Brick, minecraft:nether_brick, 405;
Nether Brick Fence, minecraft:nether_brick_fence, 113;
Nether Brick Slab, minecraft:nether_brick_slab,  ;
Nether Brick Stairs, minecraft:nether_brick_stairs, 114;
Nether Brick Wall, minecraft:nether_brick_wall,  ;
Block of Nether Bricks, minecraft:nether_bricks, 112;
Nether Gold Ore, minecraft:nether_gold_ore,  ;
Nether Quartz Ore, minecraft:nether_quartz_ore, 153;
Nether Sprouts, minecraft:nether_sprouts,  ;
Nether Star, minecraft:nether_star, 399;
Nether Wart, minecraft:nether_wart, 372;
Nether Wart Block, minecraft:nether_wart_block, 214;
Netherite Axe, minecraft:netherite_axe,  ;
Block of Netherite, minecraft:netherite_block,  ;
Netherite Boots, minecraft:netherite_boots,  ;
Netherite Chestplate, minecraft:netherite_chestplate,  ;
Netherite Helmet, minecraft:netherite_helmet,  ;
Netherite Hoe, minecraft:netherite_hoe,  ;
Netherite Ingot, minecraft:netherite_ingot,  ;
Netherite Leggings, minecraft:netherite_leggings,  ;
Netherite Pickaxe, minecraft:netherite_pickaxe,  ;
Netherite Scrap, minecraft:netherite_scrap,  ;
Netherite Shovel, minecraft:netherite_shovel,  ;
Netherite Sword, minecraft:netherite_sword,  ;
Netherrack, minecraft:netherrack, 87;
Note Block, minecraft:note_block, 25;
Oak Boat, minecraft:oak_boat, 333;
Oak Button, minecraft:oak_button, 143;
Oak Door, minecraft:oak_door, 324;
Oak Fence, minecraft:oak_fence, 85;
Oak Fence Gate, minecraft:oak_fence_gate, 107;
Oak Leaves, minecraft:oak_leaves,  ;
Oak Log, minecraft:oak_log,  ;
Oak Planks, minecraft:oak_planks,  ;
Oak Pressure Plate, minecraft:oak_pressure_plate, 72;
Oak Sapling, minecraft:oak_sapling,  ;
Oak Sign, minecraft:oak_sign, 323;
Oak Wood Slab, minecraft:oak_slab,  ;
Oak Wood Stairs, minecraft:oak_stairs, 53;
Oak Trapdoor, minecraft:oak_trapdoor, 96;
Oak Wood with Bark, minecraft:oak_wood,  ;
Observer, minecraft:observer, 218;
Obsidian, minecraft:obsidian, 49;
Ocelot Spawn Egg, minecraft:ocelot_spawn_egg,  ;
Orange Banner, minecraft:orange_banner,  ;
Orange Bed, minecraft:orange_bed,  ;
Orange Carpet, minecraft:orange_carpet,  ;
Orange Concrete, minecraft:orange_concrete,  ;
Orange Concrete Powder, minecraft:orange_concrete_powder,  ;
Orange Dye, minecraft:orange_dye,  ;
Orange Glazed Terracotta, minecraft:orange_glazed_terracotta, 236;
Orange Shulker Box, minecraft:orange_shulker_box, 220;
Orange Stained Glass, minecraft:orange_stained_glass,  ;
Orange Stained Glass Pane, minecraft:orange_stained_glass_pane,  ;
Orange Terracotta, minecraft:orange_terracotta,  ;
Orange Tulip, minecraft:orange_tulip,  ;
Orange Wool, minecraft:orange_wool,  ;
Oxeye Daisy, minecraft:oxeye_daisy,  ;
Packed Ice, minecraft:packed_ice, 174;
Painting, minecraft:painting, 321;
Panda Spawn Egg, minecraft:panda_spawn_egg,  ;
Paper, minecraft:paper, 339;
Parrot Spawn Egg, minecraft:parrot_spawn_egg,  ;
Peony, minecraft:peony,  ;
Petrified Oak Slab, minecraft:petrified_oak_slab,  ;
Phantom Membrane, minecraft:phantom_membrane,  ;
Phantom Spawn Egg, minecraft:phantom_spawn_egg,  ;
Pig Spawn Egg, minecraft:pig_spawn_egg,  ;
Snout Banner Pattern, minecraft:piglin_banner_pattern,  ;
Spawn Piglin Brute, minecraft:piglin_brute_spawn_egg,  ;
Piglin Spawn Egg, minecraft:piglin_spawn_egg,  ;
Pillager Spawn Egg, minecraft:pillager_spawn_egg,  ;
Pink Banner, minecraft:pink_banner,  ;
Pink Bed, minecraft:pink_bed,  ;
Pink Carpet, minecraft:pink_carpet,  ;
Pink Concrete, minecraft:pink_concrete,  ;
Pink Concrete Powder, minecraft:pink_concrete_powder,  ;
Pink Dye, minecraft:pink_dye,  ;
Pink Glazed Terracotta, minecraft:pink_glazed_terracotta, 241;
Pink Shulker Box, minecraft:pink_shulker_box, 225;
Pink Stained Glass, minecraft:pink_stained_glass,  ;
Pink Stained Glass Pane, minecraft:pink_stained_glass_pane,  ;
Pink Terracotta, minecraft:pink_terracotta,  ;
Pink Tulip, minecraft:pink_tulip,  ;
Pink Wool, minecraft:pink_wool,  ;
Piston, minecraft:piston, 33;
Steve Head, minecraft:player_head,  ;
Podzol, minecraft:podzol,  ;
Poisonous Potato, minecraft:poisonous_potato, 394;
Polar Bear Spawn Egg, minecraft:polar_bear_spawn_egg,  ;
Polished Andesite, minecraft:polished_andesite,  ;
Polished Andesite Slab, minecraft:polished_andesite_slab,  ;
Polished Andesite Stairs, minecraft:polished_andesite_stairs,  ;
Polished Basalt, minecraft:polished_basalt,  ;
Polished Blackstone, minecraft:polished_blackstone,  ;
Polished Blackstone Brick Slab, minecraft:polished_blackstone_brick_slab,  ;
Polished Blackstone Brick Stairs, minecraft:polished_blackstone_brick_stairs,  ;
Polished Blackstone Brick Wall, minecraft:polished_blackstone_brick_wall,  ;
Polished Blackstone Bricks, minecraft:polished_blackstone_bricks,  ;
Polished Blackstone Button, minecraft:polished_blackstone_button,  ;
Polished Blackstone Pressure Plate, minecraft:polished_blackstone_pressure_plate,  ;
Polished Blackstone Slab, minecraft:polished_blackstone_slab,  ;
Polished Blackstone Stairs, minecraft:polished_blackstone_stairs,  ;
Polished Blackstone Wall, minecraft:polished_blackstone_wall,  ;
Polished Diorite, minecraft:polished_diorite,  ;
Polished Diorite Slab, minecraft:polished_diorite_slab,  ;
Polished Diorite Stairs, minecraft:polished_diorite_stairs,  ;
Polished Granite, minecraft:polished_granite,  ;
Polished Granite Slab, minecraft:polished_granite_slab,  ;
Polished Granite Stairs, minecraft:polished_granite_stairs,  ;
Popped Chorus Fruit, minecraft:popped_chorus_fruit,  ;
Poppy, minecraft:poppy,  ;
Raw Porkchop, minecraft:porkchop, 319;
Potato, minecraft:potato, 392;
Potion of Fire Resistance (3:00), minecraft:potion, 373;
Potion of Fire Resistance (8:00), minecraft:potion, 373;
Potion of Harming (Instant Damage II), minecraft:potion, 373;
Potion of Harming (Instant Damage), minecraft:potion, 373;
Potion of Healing (Instant Health II), minecraft:potion, 373;
Potion of Healing (Instant Health), minecraft:potion, 373;
Potion of Invisibility (3:00), minecraft:potion, 373;
Potion of Invisibility (8:00), minecraft:potion, 373;
Potion of Leaping (1:30 - Jump Boost II), minecraft:potion, 373;
Potion of Leaping (3:00 - Jump Boost), minecraft:potion, 373;
Potion of Leaping (8:00 - Jump Boost), minecraft:potion, 373;
Potion of Luck (5:00), minecraft:potion, 373;
Potion of Night Vision (3:00), minecraft:potion, 373;
Potion of Night Vision (8:00), minecraft:potion, 373;
Potion of Poison (0:22 - Poison II), minecraft:potion, 373;
Potion of Poison (0:45), minecraft:potion, 373;
Potion of Poison (2:00), minecraft:potion, 373;
Potion of Regeneration (0:22 - Regeneration II), minecraft:potion, 373;
Potion of Regeneration (0:45), minecraft:potion, 373;
Potion of Regeneration (1:30), minecraft:potion, 373;
Potion of Slow Falling (1:30), minecraft:potion, 373;
Potion of Slow Falling (4:00), minecraft:potion, 373;
Potion of Slowness (0:10 - Slowness V), minecraft:potion, 373;
Potion of Slowness (1:30), minecraft:potion, 373;
Potion of Slowness (4:00), minecraft:potion, 373;
Potion of Strength (1:30 - Strength II), minecraft:potion, 373;
Potion of Strength (3:00), minecraft:potion, 373;
Potion of Strength (8:00), minecraft:potion, 373;
Potion of Swiftness (1:30 - Speed II), minecraft:potion, 373;
Potion of Swiftness (3:00 - Speed), minecraft:potion, 373;
Potion of Swiftness (8:00 - Speed), minecraft:potion, 373;
Potion of Water Breathing (3:00), minecraft:potion, 373;
Potion of Water Breathing (8:00), minecraft:potion, 373;
Potion of Weakness (1:30), minecraft:potion, 373;
Potion of Weakness (4:00), minecraft:potion, 373;
Potion of the Turtle Master (0:20 - Slowness IV, Resistance III), minecraft:potion, 373;
Potion of the Turtle Master (0:20 - Slowness VI, Resistance IV), minecraft:potion, 373;
Potion of the Turtle Master (0:40 - Slowness IV, Resistance III), minecraft:potion, 373;
Water Bottle, minecraft:potion, 373;
Powered Rails, minecraft:powered_rail, 27;
Prismarine, minecraft:prismarine, 168;
Prismarine Brick Slab, minecraft:prismarine_brick_slab,  ;
Prismarine Bricks Stairs, minecraft:prismarine_brick_stairs,  ;
Prismarine Bricks, minecraft:prismarine_bricks,  ;
Prismarine Crystals, minecraft:prismarine_crystals, 410;
Prismarine Shard, minecraft:prismarine_shard, 409;
Prismarine Slab, minecraft:prismarine_slab,  ;
Prismarine Stairs, minecraft:prismarine_stairs,  ;
Prismarine Wall, minecraft:prismarine_wall,  ;
Pufferfish, minecraft:pufferfish,  ;
Bucket of Pufferfish, minecraft:pufferfish_bucket,  ;
Pufferfish Spawn Egg, minecraft:pufferfish_spawn_egg,  ;
Pumpkin, minecraft:pumpkin, 86;
Pumpkin Pie, minecraft:pumpkin_pie, 400;
Pumpkin Seeds, minecraft:pumpkin_seeds, 361;
Purple Banner, minecraft:purple_banner,  ;
Purple Bed, minecraft:purple_bed,  ;
Purple Carpet, minecraft:purple_carpet,  ;
Purple Concrete, minecraft:purple_concrete,  ;
Purple Concrete Powder, minecraft:purple_concrete_powder,  ;
Purple Dye, minecraft:purple_dye,  ;
Purple Glazed Terracotta, minecraft:purple_glazed_terracotta, 245;
Purple Shulker Box, minecraft:purple_shulker_box, 229;
Purple Stained Glass, minecraft:purple_stained_glass,  ;
Purple Stained Glass Pane, minecraft:purple_stained_glass_pane,  ;
Purple Terracotta, minecraft:purple_terracotta,  ;
Purple Wool, minecraft:purple_wool,  ;
Purpur Block, minecraft:purpur_block, 201;
Purpur Pillar, minecraft:purpur_pillar, 202;
Purpur Slab, minecraft:purpur_slab, 205;
Purpur Stairs, minecraft:purpur_stairs, 203;
Nether Quartz, minecraft:quartz, 406;
Block of Quartz, minecraft:quartz_block, 155;
Quartz Bricks, minecraft:quartz_bricks,  ;
Pillar Quartz Block, minecraft:quartz_pillar,  ;
Quartz Slab, minecraft:quartz_slab,  ;
Quartz Stairs, minecraft:quartz_stairs, 156;
Raw Rabbit, minecraft:rabbit, 411;
Rabbit's Foot, minecraft:rabbit_foot, 414;
Rabbit Hide, minecraft:rabbit_hide, 415;
Rabbit Spawn Egg, minecraft:rabbit_spawn_egg,  ;
Rabbit Stew, minecraft:rabbit_stew, 413;
Rails, minecraft:rail, 66;
Ravager Spawn Egg, minecraft:ravager_spawn_egg,  ;
Red Banner, minecraft:red_banner,  ;
Red Bed, minecraft:red_bed,  ;
Red Carpet, minecraft:red_carpet,  ;
Red Concrete, minecraft:red_concrete,  ;
Red Concrete Powder, minecraft:red_concrete_powder,  ;
Red Dye, minecraft:red_dye,  ;
Red Glazed Terracotta, minecraft:red_glazed_terracotta, 249;
Mushroom (red with white spots), minecraft:red_mushroom, 40;
Red Mushroom Block, minecraft:red_mushroom_block, 100;
Red Nether Brick Slab, minecraft:red_nether_brick_slab,  ;
Red Nether Brick Stairs, minecraft:red_nether_brick_stairs,  ;
Red Nether Brick Wall, minecraft:red_nether_brick_wall,  ;
Red Nether Brick, minecraft:red_nether_bricks, 215;
Red Sand, minecraft:red_sand,  ;
Red Sandstone, minecraft:red_sandstone, 179;
Red Sandstone Slab, minecraft:red_sandstone_slab,  ;
Red Sandstone Stairs, minecraft:red_sandstone_stairs, 180;
Red Sandstone Wall, minecraft:red_sandstone_wall,  ;
Red Shulker Box, minecraft:red_shulker_box, 233;
Red Stained Glass, minecraft:red_stained_glass,  ;
Red Stained Glass Pane, minecraft:red_stained_glass_pane,  ;
Red Terracotta, minecraft:red_terracotta,  ;
Red Tulip, minecraft:red_tulip,  ;
Red Wool, minecraft:red_wool,  ;
Redstone Dust, minecraft:redstone, 331;
Block of Redstone, minecraft:redstone_block, 152;
Redstone Lamp, minecraft:redstone_lamp, 123;
Redstone Ore, minecraft:redstone_ore, 73;
Redstone Torch, minecraft:redstone_torch, 76;
Redstone Repeater, minecraft:repeater, 356;
Repeating Command Block, minecraft:repeating_command_block, 210;
Respawn Anchor, minecraft:respawn_anchor,  ;
Rose Bush, minecraft:rose_bush,  ;
Rotten Flesh, minecraft:rotten_flesh, 367;
Saddle, minecraft:saddle, 329;
Raw Salmon, minecraft:salmon,  ;
Bucket of Salmon, minecraft:salmon_bucket,  ;
Salmon Spawn Egg, minecraft:salmon_spawn_egg,  ;
Sand, minecraft:sand,  ;
Sandstone, minecraft:sandstone, 24;
Sandstone Slab, minecraft:sandstone_slab,  ;
Sandstone Stairs, minecraft:sandstone_stairs, 128;
Sandstone Wall, minecraft:sandstone_wall,  ;
Scaffolding, minecraft:scaffolding,  ;
Scute, minecraft:scute,  ;
Sea Lantern, minecraft:sea_lantern, 169;
Sea Pickle, minecraft:sea_pickle,  ;
Seagrass, minecraft:seagrass,  ;
Shears, minecraft:shears, 359;
Sheep Spawn Egg, minecraft:sheep_spawn_egg,  ;
Shield, minecraft:shield, 442;
Shroomlight, minecraft:shroomlight,  ;
Shulker Box, minecraft:shulker_box,  ;
Shulker Shell, minecraft:shulker_shell, 450;
Shulker Spawn Egg, minecraft:shulker_spawn_egg,  ;
Silverfish Spawn Egg, minecraft:silverfish_spawn_egg,  ;
Skeleton Horse Spawn Egg, minecraft:skeleton_horse_spawn_egg,  ;
Skeleton Skull, minecraft:skeleton_skull,  ;
Skeleton Spawn Egg, minecraft:skeleton_spawn_egg,  ;
Skull Charge Banner Pattern, minecraft:skull_banner_pattern,  ;
Slimeball, minecraft:slime_ball, 341;
Slime Block, minecraft:slime_block, 165;
Slime Spawn Egg, minecraft:slime_spawn_egg,  ;
Smithing Table, minecraft:smithing_table,  ;
Smoker, minecraft:smoker,  ;
Smooth Quartz, minecraft:smooth_quartz,  ;
Smooth Quartz Slab, minecraft:smooth_quartz_slab,  ;
Smooth Quartz Stairs, minecraft:smooth_quartz_stairs,  ;
Smooth Red Sandstone, minecraft:smooth_red_sandstone,  ;
Smooth Red Sandstone Slab, minecraft:smooth_red_sandstone_slab,  ;
Smooth Red Sandstone Stairs, minecraft:smooth_red_sandstone_stairs,  ;
Smooth Sandstone, minecraft:smooth_sandstone,  ;
Smooth Sandstone Slab, minecraft:smooth_sandstone_slab,  ;
Smooth Sandstone Stairs, minecraft:smooth_sandstone_stairs,  ;
Smooth Stone, minecraft:smooth_stone,  ;
Smooth Stone Slab, minecraft:smooth_stone_slab,  ;
Snow, minecraft:snow,  ;
Snow Block, minecraft:snow_block, 80;
Snowball, minecraft:snowball, 332;
Soul Campfire, minecraft:soul_campfire,  ;
Soul Lantern, minecraft:soul_lantern,  ;
Soul Sand, minecraft:soul_sand, 88;
Soul Soil, minecraft:soul_soil,  ;
Soul Torch, minecraft:soul_torch,  ;
Monster Spawner, minecraft:spawner,  ;
Spectral Arrow, minecraft:spectral_arrow, 439;
Spider Eye, minecraft:spider_eye, 375;
Spider Spawn Egg, minecraft:spider_spawn_egg,  ;
Splash Potion of Fire Resistance (3:00/2:15), minecraft:splash_potion, 438;
Splash Potion of Fire Resistance (6:00), minecraft:splash_potion, 438;
Splash Potion of Harming (Instant Damage II), minecraft:splash_potion, 438;
Splash Potion of Harming (Instant Damage), minecraft:splash_potion, 438;
Splash Potion of Healing (Instant Health II), minecraft:splash_potion, 438;
Splash Potion of Healing (Instant Health), minecraft:splash_potion, 438;
Splash Potion of Invisibility (3:00/2:15), minecraft:splash_potion, 438;
Splash Potion of Invisibility (8:00/6:00), minecraft:splash_potion, 438;
Splash Potion of Leaping (1:30/1:07 - Jump Boost II), minecraft:splash_potion, 438;
Splash Potion of Leaping (3:00/2:15 - Jump Boost), minecraft:splash_potion, 438;
Splash Potion of Leaping (8:00/6:00 - Jump Boost), minecraft:splash_potion, 438;
Splash Potion of Luck (5:00), minecraft:splash_potion, 438;
Splash Potion of Night Vision (3:00/2:15), minecraft:splash_potion, 438;
Splash Potion of Night Vision (8:00/6:00), minecraft:splash_potion, 438;
Splash Potion of Poison (0:22/0:16 - Poison II), minecraft:splash_potion, 438;
Splash Potion of Poison (0:45/0:33), minecraft:splash_potion, 438;
Splash Potion of Poison (1:30), minecraft:splash_potion, 438;
Splash Potion of Regeneration (0:22/0:16 - Regeneration II), minecraft:splash_potion, 438;
Splash Potion of Regeneration (0:45/0:33), minecraft:splash_potion, 438;
Splash Potion of Regeneration (1:30), minecraft:splash_potion, 438;
Splash Potion of Slow Falling (1:30), minecraft:splash_potion, 438;
Splash Potion of Slow Falling (4:00), minecraft:splash_potion, 438;
Splash Potion of Slowness (0:10 - Slowness V), minecraft:splash_potion, 438;
Splash Potion of Slowness (1:30/1:07), minecraft:splash_potion, 438;
Splash Potion of Slowness (4:00/3:00), minecraft:splash_potion, 438;
Splash Potion of Strength (1:30/1:07 - Strength II), minecraft:splash_potion, 438;
Splash Potion of Strength (3:00/2:15), minecraft:splash_potion, 438;
Splash Potion of Strength (8:00/6:00), minecraft:splash_potion, 438;
Splash Potion of Swiftness (1:30/1:07 - Speed II), minecraft:splash_potion, 438;
Splash Potion of Swiftness (3:00/2:15 - Speed), minecraft:splash_potion, 438;
Splash Potion of Swiftness (8:00/6:00 - Speed), minecraft:splash_potion, 438;
Splash Potion of Water Breathing (3:00/2:15), minecraft:splash_potion, 438;
Splash Potion of Water Breathing (8:00/6:00), minecraft:splash_potion, 438;
Splash Potion of Weakness (1:30/1:07), minecraft:splash_potion, 438;
Splash Potion of Weakness (4:00/3:00), minecraft:splash_potion, 438;
Splash Potion of the Turtle Master (0:15 - Slowness IV, Resistance III), minecraft:splash_potion, 438;
Splash Potion of the Turtle Master (0:15 - Slowness VI, Resistance IV), minecraft:splash_potion, 438;
Splash Potion of the Turtle Master (0:30 - Slowness IV, Resistance III), minecraft:splash_potion, 438;
Sponge, minecraft:sponge, 19;
Spruce Boat, minecraft:spruce_boat, 444;
Spruce Button, minecraft:spruce_button,  ;
Spruce Door, minecraft:spruce_door, 427;
Spruce Fence, minecraft:spruce_fence, 188;
Spruce Fence Gate, minecraft:spruce_fence_gate, 183;
Spruce Leaves, minecraft:spruce_leaves,  ;
Spruce Log, minecraft:spruce_log,  ;
Spruce Planks, minecraft:spruce_planks,  ;
Spruce Pressure Plate, minecraft:spruce_pressure_plate,  ;
Spruce Sapling, minecraft:spruce_sapling,  ;
Spruce Sign, minecraft:spruce_sign,  ;
Spruce Wood Slab, minecraft:spruce_slab,  ;
Spruce Wood Stairs, minecraft:spruce_stairs, 134;
Spruce Trapdoor, minecraft:spruce_trapdoor,  ;
Spruce Wood with Bark, minecraft:spruce_wood,  ;
Squid Spawn Egg, minecraft:squid_spawn_egg,  ;
Stick, minecraft:stick, 280;
Sticky Piston, minecraft:sticky_piston, 29;
Stone, minecraft:stone, 1;
Stone Axe, minecraft:stone_axe, 275;
Stone Brick Slab, minecraft:stone_brick_slab,  ;
Stone Brick Stairs, minecraft:stone_brick_stairs, 109;
Stone Brick Wall, minecraft:stone_brick_wall,  ;
Stone Bricks, minecraft:stone_bricks,  ;
Stone Button, minecraft:stone_button, 77;
Stone Hoe, minecraft:stone_hoe, 291;
Stone Pickaxe, minecraft:stone_pickaxe, 274;
Stone Pressure Plate, minecraft:stone_pressure_plate, 70;
Stone Shovel, minecraft:stone_shovel, 273;
Stone Slab, minecraft:stone_slab,  ;
Stone Stairs, minecraft:stone_stairs,  ;
Stone Sword, minecraft:stone_sword, 272;
Stonecutter, minecraft:stonecutter,  ;
Stray Spawn Egg, minecraft:stray_spawn_egg,  ;
Strider Spawn Egg, minecraft:strider_spawn_egg,  ;
String, minecraft:string, 287;
Stripped Acacia Log, minecraft:stripped_acacia_log,  ;
Stripped Acacia Wood, minecraft:stripped_acacia_wood,  ;
Stripped Birch Log, minecraft:stripped_birch_log,  ;
Stripped Birch Wood, minecraft:stripped_birch_wood,  ;
Stripped Crimson Hyphae, minecraft:stripped_crimson_hyphae,  ;
Stripped Crimson Stem, minecraft:stripped_crimson_stem,  ;
Stripped Dark Oak Log, minecraft:stripped_dark_oak_log,  ;
Stripped Dark Oak Wood, minecraft:stripped_dark_oak_wood,  ;
Stripped Jungle Log, minecraft:stripped_jungle_log,  ;
Stripped Jungle Wood, minecraft:stripped_jungle_wood,  ;
Stripped Oak Log, minecraft:stripped_oak_log,  ;
Stripped Oak Wood, minecraft:stripped_oak_wood,  ;
Stripped Spruce Log, minecraft:stripped_spruce_log,  ;
Stripped Spruce Wood, minecraft:stripped_spruce_wood,  ;
Stripped Warped Hyphae, minecraft:stripped_warped_hyphae,  ;
Stripped Warped Stem, minecraft:stripped_warped_stem,  ;
Structure Block, minecraft:structure_block, 255;
Structure Void, minecraft:structure_void, 217;
Sugar, minecraft:sugar, 353;
Sugar Canes, minecraft:sugar_cane, 338;
Sunflower, minecraft:sunflower,  ;
Suspicious Stew, minecraft:suspicious_stew,  ;
Sweet Berries, minecraft:sweet_berries,  ;
Double Tallgrass, minecraft:tall_grass,  ;
Target, minecraft:target,  ;
Terracotta, minecraft:terracotta, 172;
Arrow of Fire Resistance (0:22), minecraft:tipped_arrow, 440;
Arrow of Fire Resistance (1:00), minecraft:tipped_arrow, 440;
Arrow of Harming (Instant Damage II), minecraft:tipped_arrow, 440;
Arrow of Harming (Instant Damage), minecraft:tipped_arrow, 440;
Arrow of Healing (Instant Health II), minecraft:tipped_arrow, 440;
Arrow of Healing (Instant Health), minecraft:tipped_arrow, 440;
Arrow of Invisibility (0:22), minecraft:tipped_arrow, 440;
Arrow of Invisibility (1:00), minecraft:tipped_arrow, 440;
Arrow of Leaping (0:11 - Jump Boost II), minecraft:tipped_arrow, 440;
Arrow of Leaping (0:22 - Jump Boost), minecraft:tipped_arrow, 440;
Arrow of Leaping (1:00 - Jump Boost), minecraft:tipped_arrow, 440;
Arrow of Luck (0:37), minecraft:tipped_arrow, 440;
Arrow of Night Vision (0:22), minecraft:tipped_arrow, 440;
Arrow of Night Vision (1:00), minecraft:tipped_arrow, 440;
Arrow of Poison (0:02 - Poison II), minecraft:tipped_arrow, 440;
Arrow of Poison (0:05), minecraft:tipped_arrow, 440;
Arrow of Poison (0:11), minecraft:tipped_arrow, 440;
Arrow of Regeneration (0:02 - Regeneration II), minecraft:tipped_arrow, 440;
Arrow of Regeneration (0:05), minecraft:tipped_arrow, 440;
Arrow of Regeneration (0:11), minecraft:tipped_arrow, 440;
Arrow of Slow Falling (0:11), minecraft:tipped_arrow, 400;
Arrow of Slow Falling (0:30), minecraft:tipped_arrow, 400;
Arrow of Slowness (0:01 - Slowness V), minecraft:tipped_arrow, 440;
Arrow of Slowness (0:11), minecraft:tipped_arrow, 440;
Arrow of Slowness (0:30), minecraft:tipped_arrow, 440;
Arrow of Strength (0:11 - Strength II), minecraft:tipped_arrow, 440;
Arrow of Strength (0:22), minecraft:tipped_arrow, 440;
Arrow of Strength (1:00), minecraft:tipped_arrow, 440;
Arrow of Swiftness (0:11 - Speed II), minecraft:tipped_arrow, 440;
Arrow of Swiftness (0:22 - Speed), minecraft:tipped_arrow, 440;
Arrow of Swiftness (1:00 - Speed), minecraft:tipped_arrow, 440;
Arrow of Water Breathing (0:22), minecraft:tipped_arrow, 440;
Arrow of Water Breathing (1:00), minecraft:tipped_arrow, 440;
Arrow of Weakness (0:11), minecraft:tipped_arrow, 440;
Arrow of Weakness (0:30), minecraft:tipped_arrow, 440;
Arrow of the Turtle Master (0:02 - Slowness IV, Resistance III), minecraft:tipped_arrow, 440;
Arrow of the Turtle Master (0:02 - Slowness VI, Resistance IV), minecraft:tipped_arrow, 440;
Arrow of the Turtle Master (0:05 - Slowness IV, Resistance III), minecraft:tipped_arrow, 440;
TNT, minecraft:tnt, 46;
Minecart with TNT, minecraft:tnt_minecart, 407;
Torch, minecraft:torch, 50;
Totem of Undying, minecraft:totem_of_undying, 449;
Trader Llama Spawn Egg, minecraft:trader_llama_spawn_egg,  ;
Trapped Chest, minecraft:trapped_chest, 146;
Trident, minecraft:trident,  ;
Tripwire Hook, minecraft:tripwire_hook, 131;
Tropical Fish (Clownfish), minecraft:tropical_fish,  ;
Bucket of Tropical Fish, minecraft:tropical_fish_bucket,  ;
Tropical Fish Spawn Egg, minecraft:tropical_fish_spawn_egg,  ;
Tube Coral, minecraft:tube_coral,  ;
Tube Coral Block, minecraft:tube_coral_block,  ;
Tube Coral Fan, minecraft:tube_coral_fan,  ;
